TrialID,Title,Phase,Status,Enrollment
NCT06475235,"Pembrolizumab + Chemotherapy in Newly Diagnosed PCNSL",PHASE1,RECRUITING,15
NCT00275535,"The Comparison of Tacrolimus and Sirolimus Immunosuppression Based Drug Regimens in Kidney Transplant Recipients",PHASE4,COMPLETED,165
NCT02625935,"Prospective Observational Study Evaluating Treatment Decision Impact of Prosigna® in Early Stage Breast Cancer Patients",N/A,COMPLETED,206
NCT00782535,"Safety and Efficacy Study of Treatment With Single Doses of CHF 4226 pMDI in Patients With Chronic Obstructive Pulmonary Disease (COPD)",PHASE2,COMPLETED,20
NCT05598008,"Effects of Glucagon-like-Peptide-1 Analogues on Sexuality",N/A,COMPLETED,85
NCT04899908,"Stereotactic Brain-directed Radiation With or Without Aguix Gadolinium-Based Nanoparticles in Brain Metastases",PHASE2,RECRUITING,134
NCT00245908,"ASTHMA (AntibioticS To Help Manage Asthma) Pilot Study",PHASE3,COMPLETED,100
NCT05024708,"Athlete's Heart or Arrhythmogenic Right Ventricular Cardiomyopathy: Contribution of Exercise Cardiovascular Magnetic Resonance (CMR)",NA,UNKNOWN,60
NCT06400225,"Testing BVD-523FB (Ulixertinib) as Potentially Targeted Treatment in Cancers With Genetic Changes (MATCH - Subprotocol Z1L)",PHASE2,ACTIVE_NOT_RECRUITING,35
NCT01148225,"A Study of the Long-term Safety and Efficacy of Adalimumab in Subjects With Intermediate-  Posterior-  or Pan-uveitis",PHASE3,COMPLETED,424
NCT05906225,"Anesthesia and EEG Discontinuity in Infants",NA,UNKNOWN,78
NCT04715425,"Thoracoscopic Surgical Versus Catheter Ablation Approaches for Primary Treatment of Persistent Atrial Fibrillation",NA,RECRUITING,170
NCT04460625,"Effect of Blood Group on the Survival Status of Intensive Care Patients",N/A,COMPLETED,3114
NCT04569825,"Effect of Nasal Steroid in the Treatment of Anosmia Due to COVID-19 Disease",EARLY_PHASE1,UNKNOWN,250
NCT03618225,"Duloxetine Role in Reducing Opioid Consumption After Thoracotomy",PHASE4,COMPLETED,60
NCT03988725,"Nonalcoholic Steatohepatitis in HIV Mono-infection: Exploring Non-invasive Methods for Diagnosis and the Therapeutic Role of Vitamin E",NA,COMPLETED,27
NCT02082925,"Dyspnea Threshold During 6 Minutes Walk Test",NA,COMPLETED,82
NCT07019025,"Development and Implementation of a Structured Therapeutic Education Program on the Use of Mobile Applications for People With Diabetes Mellitus.",NA,NOT_YET_RECRUITING,52
NCT01365325,"Handled Echocardiography and Chronic Heart Failure",NA,COMPLETED,118
NCT03488225,"Combination Chemotherapy and Inotuzumab Ozogamicin in Treating Patients With B Acute Lymphoblastic Leukemia",PHASE2,TERMINATED,4
NCT03213925,"Neoadjuvant Chemotherapy Followed by Radiotherapy Alone in Patients With Breast Cancer",PHASE2,UNKNOWN,1
NCT06450925,"Vitamin A Supplementation in Allogeneic Stem Cell Transplantation.",PHASE2,RECRUITING,190
NCT01140776,"Clinical Evaluation of OSNA Breast Cancer System in Breast Cancer Patients Receiving Neoadjuvant Therapy",N/A,TERMINATED,100
NCT03700476,"Sintilimab (PD-1 Antibody) and Chemoradiotherapy in Locoregionally-advanced Nasopharyngeal Carcinoma",PHASE3,UNKNOWN,425
NCT05731076,"Self-Management Support for Lung Cancer Patients With Cachexia",NA,ENROLLING_BY_INVITATION,104
NCT07227376,"Data Collection Using Eko Digital Devices in a Clinical Setting",N/A,RECRUITING,250
NCT06875076,"Multicenter Single-Arm Study of Ivonescimab (AK112) Combined with Chemotherapy in Pretreated Pleural Mesothelioma",PHASE2,RECRUITING,25
NCT01967576,"Phase II Study of Axitinib (AG-013736) With Evaluation of the VEGF-pathway in Metastatic  Recurrent or Primary Unresectable Pheochromocytoma/Paraganglioma",PHASE2,COMPLETED,14
NCT04233476,"99mTc-3PRGD2 SPECT/CT for Integrin Imaging of Lung Cancer",PHASE3,COMPLETED,409
NCT04632576,"Acupoint Stimulation and Postoperative Sleep",NA,COMPLETED,274
NCT02962076,"Study of Cardiac PET/CT Imaging to Guide Ablation Treatment of Ventricular Tachycardia",EARLY_PHASE1,TERMINATED,11
NCT01718717,"Effect of Thoracic Epidural Analgesia for Thoracotomy on the Occurrence of AF",NA,UNKNOWN,50
NCT03443817,"Feasibility and Effect of a Follow up Tele-rehabilitation Program for Chronic Obstructive Lung Disease vs. Standard Follow up",NA,UNKNOWN,54
NCT05829317,"Magnesium Prophylaxis for the Prevention of New-Onset Atrial Fibrillation in Critically Ill Patients",PHASE4,RECRUITING,200
NCT00309517,"Randomized Study on Neoadjuvant Radio-Chemotherapy in Rectal Carcinoma Dukes B and C",PHASE3,TERMINATED,700
NCT00447317,"Dietary Adherence Enhancement in Peritoneal Dialysis: BalanceWise-PD",NA,COMPLETED,60
NCT04496817,"Enriched Eggs for Retina Health in Type 2 Diabetes",NA,UNKNOWN,60
NCT04459117,"Prophylactic Treatment of the Ductus Arteriosus in Preterm Infants by Acetaminophen",PHASE2 PHASE3,COMPLETED,804
NCT02526017,"Study of Cabiralizumab in Combination With Nivolumab in Patients With Selected Advanced Cancers",PHASE1,COMPLETED,313
NCT01337440,"Efficacy and Safety of Ursodeoxycholic Acid (UDCA) Added to the DPP-4 Inhibitor in People With Type 2 Diabetes and Chronic Liver Diseases",PHASE4,UNKNOWN,20
NCT06553040,"The Effect of Albumin Value  HALP Score  and LCR Value on Predicting Survival and Recurrence in Patients With Pancreatic Adenocarcinoma",N/A,COMPLETED,87
NCT02491840,"Biomoleculars Markers of Sensitivity to Pre- and Post-operative Chemotherapy of Gastric and Cardia Adenocarcinomas: a Pilot Study",NA,RECRUITING,80
NCT02961140,"Different Anesthetic Managements of Esophageal Resection and Reconstruction",NA,UNKNOWN,60
NCT04877340,"Comparation Between Needles for EUS-guided Sampling of Solid Pancreatic Lesions",NA,UNKNOWN,50
NCT00812240,"Masitinib in First Line Treatment of Gastro-Intestinal Stromal Tumor (GIST)",PHASE3,TERMINATED,335
NCT06657040,"Music for Surgical Intensive Care (MUSIC)",NA,NOT_YET_RECRUITING,360
NCT03215589,"Assessment of Cerebral Blood Flow Asymmetry in Cardiac Surgery Patients Undergoing Hypothermic Circulatory Arrest",N/A,TERMINATED,8
NCT03062189,"Binge Drinking Among Youngs is a Risk Factor for Alcohol Use Disorders",N/A,COMPLETED,2704
NCT01374789,"PURO Panitumumab in Combination With Gemcitabine/Cisplatin in Advanced Urothelial Cancer",PHASE2,TERMINATED,2
NCT03643289,"Predicting Response to Immunotherapy for Melanoma With Gut Microbiome and Metabolomics",N/A,UNKNOWN,450
NCT04974489,"Correcting Public Misperceptions About Very Low Nicotine Content Cigarettes",NA,COMPLETED,1153
NCT01379989,"INOVATYON STUDY -International  Randomized Study in Patients With Ovarian Cancer",PHASE3,COMPLETED,617
NCT00051389,"ACE Inhibition and Novel Cardiovascular Risk Factors",PHASE2,COMPLETED,N/A
NCT06006468,"Evaluating ImmuNe Changes in the Evolution of Pre Type 1 Diabetes With Adult ONset",N/A,COMPLETED,2250
NCT05971368,"A Comparative Study Between Ultrasound Guided Thoracic Paravertebral Block VS Serrartus Anterior Muscle Block in VATS as Regard Their Effectiveness in Post-operative Analgesia",NA,UNKNOWN,80
NCT05245591,"Radiation Cystitis Treated With Pentosan Polysulfate Sodium Trial",PHASE2 PHASE3,RECRUITING,72
NCT02312791,"Prognosis of Inpatients Evaluated for Palliative Radiotherapy",N/A,COMPLETED,362
NCT00621491,"Prevention of Venous Thrombosis After Permanent Transvenous Leads Implantation",NA,COMPLETED,101
NCT06783491,"Efficacy of the Use of Neoadjuvant With/Without Hyperthermic Intraperitoneal Chemotherapy in the Treatment of Locally Advanced Colon Cancer",PHASE3,NOT_YET_RECRUITING,1083
NCT06566391,"Ipilimumab and Nivolumab Followed by Adjuvant Nivolumab in Locally Advanced or Limited Metastatic Melanoma",PHASE2,UNKNOWN,35
NCT06509074,"Beta-Blockers in Takotsubo Syndrome Study",PHASE4,NOT_YET_RECRUITING,200
NCT02571374,"Symbiotics to Prevent Postoperative Infection in Colorectal Cancer",NA,UNKNOWN,92
NCT02059174,"A Study to Evaluate the Safety  Tolerability  Pharmacokinetics  and Pharmacodynamics of MK-1293 Compared With a Basal Insulin in Participants With Type 1 Diabetes (MK-1293-005)",PHASE1,COMPLETED,76
NCT05047718,"Factors Influencing the COVID-19 Vaccine Immune Response According to Age and Presence or Not of a Past History of COVID-19",PHASE4,COMPLETED,54
NCT03334318,"PERL Continuous Glucose Monitoring (CGM) Study",N/A,COMPLETED,175
NCT07365618,"Combined Exercise Effects in Breast Cancer-related Lymphedema",NA,NOT_YET_RECRUITING,58
NCT04214418,"Study of Combination Therapy With the MEK Inhibitor  Cobimetinib  Immune Checkpoint Blockade  Atezolizumab  and the AUTOphagy Inhibitor  Hydroxychloroquine in KRAS-mutated Advanced Malignancies",PHASE1 PHASE2,TERMINATED,27
NCT03559218,"KeraStat(R) Cream for Radiation Dermatitis",NA,COMPLETED,25
NCT01713218,"Effect on Tumor Perfusion of a Chemotherapy Combining Gemcitabine and Vismodegib Before Surgery in Pancreatic Cancer",EARLY_PHASE1,UNKNOWN,21
NCT03651518,"Personalized Therapies in Inflammatory Complex Disease",PHASE2,RECRUITING,32
NCT03586518,"Validating Novel  Non-contrast Cardiac MRI Imaging in Haemodialysis Patients",N/A,RECRUITING,9
NCT03275818,"Trial of Nab-paclitaxel in Patients With Desmoid Tumors and Multiply Relapsed/Refractory Desmoplastic Small Round Cell Tumors and Ewing Sarcoma",PHASE2,COMPLETED,69
NCT03210818,"Effects of Blood Flow of Venoarterial Extracorporeal Membrane Oxygenation Life Support on Microcirculation",N/A,COMPLETED,28
NCT02014818,"Multicenter Comparison of Early and Late Vascular Responses to Everolimus-eluting Cobalt-CHromium Stent",NA,UNKNOWN,104
NCT00041418,"Cardiac MR of Subclinical CVD: Impact of Age",N/A,COMPLETED,N/A
NCT02085018,"Pilot Trial Of Omeprazole in Idiopathic Pulmonary Fibrosis (IPF)",PHASE2,COMPLETED,45
NCT02102490,"A Study of Abemaciclib (LY2835219) In Participants With Previously Treated Breast Cancer That Has Spread",PHASE2,COMPLETED,132
NCT04588090,"A Prospective Randomized Controlled Study of Radiotherapy and the Concurrent Three-week and Single-week TP Chemotherapy for Advanced Cervical Squamous Cell Carcinoma and the Correlation Between HPV Classification and Sensitivity.",NA,UNKNOWN,200
NCT00974090,"Efficacy and Safety Study of MP-513 in Combination With Sulfonylurea in Patients With Type 2 Diabetes",PHASE3,COMPLETED,194
NCT01739790,"N-Acetylcysteine for Patients With COPD and Chronic Bronchitis",NA,TERMINATED,51
NCT04692090,"Effects of Yoga on Phase Angle and Quality of Life in Patients With Breast Cancer",NA,COMPLETED,31
NCT01877590,"Alpha-lipoic Acid Reduces Left Ventricular Mass in Normotensive Type 2 Diabetic Patients With Coronary Artery Disease",PHASE4,COMPLETED,66
NCT03250390,"Breath Analysis to Diagnose Lung Cancer",NA,COMPLETED,1500
NCT06512090,"Effects of LGI Steam Bread on Glycemia Control in T2DM in China",NA,NOT_YET_RECRUITING,144
NCT06185790,"MItochondrial Diabetes LOw Carb- Diet Study",NA,COMPLETED,17
NCT07335497,"CR-001 in Adult Participants With Locally Advanced or Metastatic Solid Tumors",PHASE1 PHASE2,RECRUITING,290
NCT03790397,"Osimertinib in Subjects With Advanced Non-Small Cell Lung Cancer EGFR-T790M Mutation-positive",N/A,COMPLETED,169
NCT03180697,"The Efficacy of APT Magnetic Resonance Imaging in Predicting the Efficacy of Bevacizumab in Recurrent Malignant Gliomas",N/A,UNKNOWN,100
NCT01915797,"Tumor and Development (TED)",N/A,COMPLETED,998
NCT01441297,"BIBF 1120 as Second Line Treatment for Small Cell Lung Cancer",PHASE2,COMPLETED,24
NCT05216497,"Efficacy and Safety of Ingavirin®  90 mg Capsules in Patients With COVID-19",PHASE3,COMPLETED,233
NCT02114697,"Accelerated Atherosclerosis in High Risk Population Groups: An Assessment by Magnetic Resonance Imaging",PHASE4,TERMINATED,9
NCT06447597,"A Clinical Study of B007 in the Treatment of Generalized Myasthenia Gravis.",PHASE2 PHASE3,RECRUITING,104
NCT00037310,"New CVD Risk Factors for Lowered Cognitive Functioning",N/A,COMPLETED,N/A
NCT07218510,"Venetoclax and Obinutuzumab Followed by Epcoritamab for the Treatment of Untreated Chronic Lymphocytic Leukemia and Small Lymphocytic Lymphoma  LonGEVity Trial",PHASE2,RECRUITING,33
NCT06601010,"The Value of 68Ga-grazytracer PET in Monitoring Responses to Immunotherapy of Pancreatic Cancer.",N/A,RECRUITING,30
NCT06091410,"Immunogenicity of Concomitant Administration of COVID-19 Vaccines With Influenza Vaccines",PHASE4,ACTIVE_NOT_RECRUITING,62
NCT03672110,"Slow and Low Start of a Tacrolimus Once Daily Immunosuppressive Regimen",PHASE3,UNKNOWN,400
NCT04840810,"To Compare the In-plane and Out of Plane Ultrasound Guided Approach for Internal Jugular Vein Cannulation in the Patients Undergoing Elective Cardiac Surgery.",NA,COMPLETED,80
NCT01534910,"Effect of Aged Garlic Extract on Atherosclerosis",PHASE4,COMPLETED,65
NCT03304210,"PIPAC Nab-pac for Stomach  Pancreas  Breast and Ovarian Cancer",PHASE1,COMPLETED,20
NCT01703910,"Study of Individualized Therapies Selection for Patients With Metastatic Colorectal Carcinoma According to the Therapeutic",PHASE2,COMPLETED,29
NCT00123513,"Workplace-Sponsored Program to Reduce Obesity",NA,COMPLETED,3938
NCT04358913,"MR Imaging Study Using the Northern Alberta Linac-MR (Northern LIGHTs - 1)",NA,RECRUITING,250
NCT01185613,"Clinical Evaluation of Therapy™ Cool Flex Ablation Catheter for the Treatment of Paroxysmal Atrial Fibrillation",PHASE2,COMPLETED,50
NCT02277613,"A Phase 2 Trial of AMI MultiStem® Therapy in Subjects With Non-ST Elevation Acute Myocardial Infarction",PHASE2,TERMINATED,34
NCT00391313,"CuraChik : A Trial of the Efficacy and Safety of Chloroquine as Therapeutic Treatment of Chikungunya Disease",PHASE3,TERMINATED,N/A
NCT00826813,"Trial Using 125I Embedded Stent in Patients With Advanced Esophageal Cancer",NA,UNKNOWN,250
NCT00884013,"New York City (NYC) Health eHearts Pay for Quality Pilot",N/A,COMPLETED,84
NCT04366713,"A Study to Characterize Colon Pathology in Patients With HER2 Amplified Breast Cancer Treated With Neratinib",PHASE2,COMPLETED,6
NCT06718582,"Effect of Limb Occlusion Pressure Attainment on Cardiovascular  Perceptual  and Performance Responses",NA,COMPLETED,27
NCT03491982,"Compliance Feasibility Study for Remote Phase 2 Cardiac Rehabilitation",NA,COMPLETED,25
NCT02611882,"Evaluation of Gallium-68-HBED-CC-PSMA Imaging in Prostate Cancer Patients",PHASE2,COMPLETED,225
NCT06047782,"Impact of Atrial Fibrosis Surface Area on the Occurrence of Atrial Fibrillation in Patients With Ischemic Stroke of Undetermined Origin: a Prospective Cardiac MRI Pilot Study.",NA,RECRUITING,100
NCT01413282,"Better Evaluation of Acute Chest Pain With Computed Tomography Angiography",NA,COMPLETED,500
NCT01456182,"Phase 1B- Open Label Dose-Ranging Study of Oral AFX-2 in Adults With Chronic Lymphocytic Leukemia",PHASE1,WITHDRAWN,N/A
NCT06552182,"Phase 1 Study in Diabetes Mellitus(Fasting)",PHASE1,COMPLETED,40
NCT01014624,"Prasugrel/Clopidogrel Maintenance Dose Washout Study",PHASE4,COMPLETED,56
NCT00701324,"BI 811283 in Various Solid Tumours",PHASE1,COMPLETED,124
NCT05017324,"Sequencing Mycobacteria and Algorithm-determined Resistant Tuberculosis Treatment Trial",NA,UNKNOWN,248
NCT03404024,"Safety and Efficacy Study of Gene Therapy for Acute Myocardial Infarction in Korea",PHASE2,WITHDRAWN,N/A
NCT04148924,"Comparison Between the Assessment of Anxious and Depressive Symptomology",N/A,COMPLETED,100
NCT05743023,"Consciousness-based Ayurveda Lifestyle Program for Improving Quality of Life in Survivors of Breast Cancer",NA,UNKNOWN,15
NCT02218723,"Pharmacokinetic Profile of Four Formulations of Fluticasone Furoate (FF) Using Unit Dose Dry Powder Inhaler (UD-DPI) Compared With FF ELLIPTA® Presentation",PHASE1,COMPLETED,30
NCT05145023,"Development and Validation of a Health-related Quality of Life Tool for Patients With Cardiac Sarcoidosis",N/A,COMPLETED,130
NCT02842723,"Management of Pediatric Craniopharyngioma by a Combination of Partial Surgical Resection  and Protontherapy (Craniopharyngioma)",PHASE2,COMPLETED,33
NCT00159523,"Impact in Off-spring of Mothers After Perinatal Daily Intake of a Probiotic",NA,COMPLETED,416
NCT02691923,"Diagnostic Performance of Fluorescein as an Intraoperative Brain Tumor Biomarker",PHASE2,RECRUITING,30
NCT00956423,"Comparison of Physical Activity Regimens as Treatments for Obstructive Sleep Apnea",PHASE1 PHASE2,COMPLETED,43
NCT00049023,"Radiolabeled Octreotide in Treating Children With Advanced or Refractory Solid Tumors",PHASE1,COMPLETED,27
NCT03457623,"Batch n ° 2 of the Public Market Evaluation "Medico-economic Demonstrator IsereADOM"",NA,COMPLETED,66
NCT00426959,"Study of Image-guided Dosimetry for Interstitial Prostate Brachytherapy",PHASE1,COMPLETED,6
NCT04026659,"The Feasibility of Implementing an Exercise Programme for Deconditioned Cancer Survivors",NA,COMPLETED,40
NCT05130359,"Evaluation of the Sleep-relieving Effect of Banana Peel Extract",NA,COMPLETED,56
NCT02035059,"Predictability of Gestational Diabetes Mellitus in First and Second Trimester",N/A,COMPLETED,820
NCT03700359,"A Study of Lobaplatin/Etoposide With or Without Anlotinib Maintenance Therapy in Patients With ES-SCLC",PHASE2,UNKNOWN,60
NCT02211859,"Dose Escalation Study of BI 2536 BS in Patients With Advanced Solid Tumours With Repeated Administration in Patients With Clinical Benefit",PHASE1,COMPLETED,70
NCT06063759,"Comparative Measurement of Microcirculation and Other Parameters With the Vital USA VitalDetect™ in Patients With Diabetes Mellitus Type 1 and Type 2 Versus Healthy Participants",NA,SUSPENDED,100
NCT02375880,"Study of DKN-01 and Gemcitabine/Cisplatin in Patients With Carcinoma to Primary to the Intra- or Extra-Hepatic Biliary System or Gallbladder",PHASE1,COMPLETED,51
NCT01820780,"Early Care After Discharge of HF Patients",NA,COMPLETED,507
NCT00832780,"Phase II Study of Stereotactic Body Radiation Therapy Using Tomotherapy for Tumors of the Lung",NA,COMPLETED,44
NCT01399580,"A Prospective  Double-Blind  Placebo-Controlled  Multicenter Study to Evaluate Efficacy and Safety of Atrasentan  Including Thoracic Bioimpedance  in Type 2 Diabetic Subjects With Nephropathy",PHASE2,COMPLETED,48
NCT02771080,"Peak Systolic Global Longitudinal Strain and Low Cardiac Output Syndrome After Cardiac Surgery",N/A,COMPLETED,275
NCT00779480,"Safety  Tolerability  and Pharmacokinetic/Pharmacodynamic Study of KW-2449 in Acute Myelogenous Leukemia (AML) (Protocol Number: 2449-US-002)",PHASE1,TERMINATED,14
NCT07114679,"Molecular Breast Imaging (MBI)-Guided Biopsy",NA,NOT_YET_RECRUITING,250
NCT05341479,"An Observational Study of Clinical Treatments for Patients With Oropharyngeal Carcinoma",N/A,UNKNOWN,200
NCT06737679,"The Effects of Body Scan on Enteroception in Patients With Heart Failure",NA,RECRUITING,110
NCT04198779,"Interest of the Smartphone Application "MonCœur" in the Follow-up of Patients With Heart Failure",NA,TERMINATED,125
NCT06711679,"Exploring the Minimum Effective Concentration and Volume of Ropivacaine for Sacral Plexus Anesthesia",PHASE4,ENROLLING_BY_INVITATION,180
NCT04824079,"Keynatinib in Treated Patients With NSCLC and Brain Metastases",PHASE2,COMPLETED,16
NCT05138679,"Evaluation of Acute Lower Limb Ischemia",N/A,COMPLETED,700
NCT05787379,"Care for Veterans Post-COVID-19",NA,RECRUITING,348
NCT01468779,"Effect of Probiotics in Patients Undergoing Surgery for Periampullary Neoplasms",PHASE3,COMPLETED,58
NCT02316379,"Use of Hyperpolarized 129Xe MR Lung Imaging in Adults for Calibration",PHASE1 PHASE2,RECRUITING,100
NCT01145079,"A New Strategy Regarding Discontinuation of Dual Antiplatelet",PHASE4,COMPLETED,982
NCT06988579,"The Impact of AI Assistance on Radiologist Performance and Healthcare Costs in LDCT-Based Lung Cancer Screening",NA,RECRUITING,7294
NCT05441696,"Study for the Evaluation of a Non-invasive Hemodynamic Measurement in Heart Failure Patients",N/A,ENROLLING_BY_INVITATION,65
NCT01749696,"Alterations in Connective Tissue in Patients With or Without Pelvic Organ Prolapse",N/A,COMPLETED,78
